日	4	1	象形 Pictographic	5	ニチ、ジツ、ひ、か		nichi, jitsu	hi, ka	day; Sunday	sun; time; day, date	2	4
年	6	1	会意 Com. Ideographic	5	ネン、とし		nen	toshi	year; term of service	year; age, time of life	2	3
人	2	1	象形 Pictographic	5	ジン、ニン、ひと		jin, nin	hito	man, person, people	man, human being, mankind, person, people; character, personality; true man; man of talent; adult; other people; messenger; visitor	3	13
会	6	2	象形 Pictographic	4	カイ、エ、あ-う	ケ	kai, e	a(u)	Buddhist ceremony; understanding; meeting, assembly; party; association, club	meet, interview	7	2
大	3	1	象形 Pictographic	5	ダイ、タイ、おお、おお-きい、おお-いに	ダ	dai, tai	oo, oo(kii), oo(ini)	large, huge, grand; the greater; size; very; inveterate (smoker); severe (damage); success	large, great, grand, mighty, immense; severe; heavy. very, much, greatly, exceedingly. heavy (rain); loud (voice); full-size, life-size	9	15
国	8	2	会意 Com. Ideographic	5	コク、くに		koku	kuni	country	country, land, realm; province; native land	1	5
者	8	3	会意 Com. Ideographic	4	シャ、もの		sha	mono	person; thing	person, somebody	2	2
月	4	1	象形 Pictographic	5	ゲツ、ガツ、つき		getsu, gatsu	tsuki	moon; month; Monday; month (of the year)	moon; month	4	2
出	5	1	象形 Pictographic	5	シュツ、[スイ]、で-る、だ-す		shutsu, [sui]	de(ru), da(su)	born of; appearing from; going out; sending out	appear, come out, emerge; haunt, infest; be found, get back; be served (meals); lead to, enter; find (oneself) at; come out (as a result); leave, go out, get out; attend, appear; work (at); participate; launch (into); run (for an office); be published; sell; depart; graduate; break out, originate; be raised, be produced; issue from, be traced to, derive from, stem from; protrude, stick out; exceed; interfere; intrude. put out, take out, pull out, stick out; draw (a gun); stretch out, extend; save (from a fire); expose, bare; exhibit; send, forward, post; publish; hoist (a flag); hang out; present, send in, tender, submit; serve; run (extra trains); produce; pay, contribute; invest; advance (money)	4	66
事	8	3	会意 Com. Ideographic	4	ジ、[ズ]、こと	シ、つか	ji, [zu]	koto	thing, matter	thing, matter, fact, circumstances, business, reason, experience	2	7
長	8	2	象形 Pictographic	5	チョウ、なが-い	たけ、おさ、まさ、た	choo	naga(i)	head, chief, headman, commander, director, manager; merit, forte, advantage; superiority; length	long, lengthy	11	2
一	1	1	指事 Ideographic	5	イチ、イツ、ひと、ひと-つ		ichi, itsu	hito, hito(tsu)	one, a	one, a unit; the same; just; once	2	5
中	4	1	象形 Pictographic	5	チュウ、[ジュウ]、なか	うち、あ	chuu, [jyuu]	naka	center, middle; middle (course); (golden) mean; medium, mediocrity, average; second volume (of three)	inside, interior, midst, middle, mean, midway	8	6
時	10	2	形声 Phonetic	5	ジ、とき	シ	ji	toki	hour, o'clock, time; Buddhist sect originating in the thirteenth century	time, hour, moment, occasion; season; opportunity; the times; tense	4	8
同	6	2	会意 Com. Ideographic	4	ドウ、おな-じ		doo	ona(ji)	the same, the said, ibid	same, identical, equal; uniform; equivalent; similar; common (origin); changeless	3	8
分	4	2	会意 Com. Ideographic	5	ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ		bun, fun, bu	wa(keru), wa(kareru), wa(karu), wa(katsu)	dividing; part, segment; share; ration; rate; degree; one's lot, one's status; relation; duty; kind, lot. a minute of time; one-sixtieth of a degree; one-tenth of a momme. rate, part, percentage; one percent; thickness; odds; chance of winning; one-tenth of a shaku; one quarter of a ryo	understand, comprehend; know, be known, be identified; be open to reason, be sensible; can tell (what will happen); appreciate; be announced; be discovered; recognize. divide, split, separate; isolate; distribute, share; distinguish; spare. share with; distinguish between. branch off, diverge from, fork; split; be divided; part with; be divorced; bid farewell; break up, disperse, scatter	25	33
上	3	1	指事 Ideographic	5	ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す		joo, [shoo]	ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su)	top; best; first volume. upper part; government. aboard a ship or vehicle; from the standpoint of; as a matter of (fact). governmental; imperial; best; high class; going up; presenting; showing	up, upper part, top, summit; surface; far better; higher; (in) authority; as far as…is concerned; besides; after; emperor, sovereign; upon (examination); influence of (liquor); lord, shogun; superior. rise, go up; climb up; advance, appreciate; be offered; accrue; be finished; (expenses) come to; go bankrupt; begin spinning (cocoons); be caught; get ruffled; eat, drink; die; weaken (as a battery); let up (rain). raise, elevate; fly (kites); praise; increase, promote, elevate; vomit; usher in, admit; send (to school); offer; present, leave with; finish; arrange (expenses); observe, perform; quote, mention, give (examples); bear (a child); improve (talents); do up (the hair); arrest; engage; fry; (rains) stop. ascend, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda). record; bring up (a matter); serve (food); send some out (from Kyoto). head; upper part; upper stream; emperor; a superior; upper part of the body; the above. upward, outer	15	85
手	4	1	象形 Pictographic	4	シュ、て、[た]	ズ	shu	te, [ta]	hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury	hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury	19	19
後	9	2	会意 Com. Ideographic	5	ゴ、コウ、のち、うし-ろ、あと、おく-れる		go, koo	nochi, ushi(ro), ato, oku(reru)	back, rear, behind	after, since then; future; after one's death. back, rear, behind. results; remainder, sequel; posterity; successor; survivor; effect, influence; estate. be late, be delayed, be overdue; lag behind; (clocks) lose	3	21
発	9	3	会意 Com. Ideographic	4	ハツ、ホツ		hatsu, hotsu	-	departure; discharge (of a gun)	-	2	0
生	5	1	象形 Pictographic	5	セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま	な	sei, shoo	i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama	birth; life, existence, living; subsistence; student	grow, spring up; cut (teeth). cultivate, wear (a beard). revive, resuscitate; restore to life; let live, spare a life; make the most of; give life to; stet. keep alive; arrange flowers (in a vase); living. live, subsist, exist; be enlivened; be safe (on first). be born. bear, give birth to, breed, spawn; produce, yield (interest). raw, uncooked, fresh; unripe; half-boiled; rare; hard cash; impertinent, conceited; inexperienced; (beer) on tap; crude (rubber), unprocessed. pure, undiluted, genuine; raw, crude	6	46
行	6	2	象形 Pictographic	5	コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う		koo, gyoo, [an]	i(ku), yu(ku), okona(u)	party, suite; journey; expedition; line, row. religious austerities.	go; run (water). do, act, conduct oneself; carry out; perform, conduct (school); exercise (control); hold (a ceremony)	7	10
合	6	2	象形 Pictographic	3	ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる	コウ	goo, gaQ, [kaQ]	a(u), a(wasu), a(waseru)	one-tenth	fit, suit; agree with, match, be correct; pay, be profitable. join together; be opposite, face; unite, combine, connect; add up; mix; match; overlap; compare; check with	1	19
本	5	1	指事 Ideographic	5	ホン、もと		hon	moto	book; this, the same, the present, the current; main; true; real; regular, normal; counter for long things	beginning, origin; foundation, basis, source; cause; root (of a tree); (raw) material, base; capital; principal; cost; forebears; formerly	11	14
見	7	1	象形 Pictographic	5	ケン、み-る、み-える、み-せる	まみ、ら	ken	mi(ru), mi(eru), mi(seru)	hopes, chances; ideas, opinion	see, look at, witness, observe; regard as; sightsee; look through; examine; consult (a lexicon); tell (one’s future); estimate; care for; try, test; be seen, be visible, be in sight; look like, seem, appear; come, show up; be found	4	23
回	6	2	象形 Pictographic	3	カイ、[エ]、まわ-る、まわ-す	めぐ	kai, [e]	mawa(ru), mawa(su)	time; round, game, bout, heat, inning, innings; go around	and, turn, go around; revolve, rotate, spin, gyrate; patrol, tour; take effect (medicine); be distributed; be past (time); be transferred; circularize; pass around; forward, transmit; refer to; transfer; lend money	8	20
前	9	2	会意 Com. Ideographic	5	ゼン、まえ	セン、さき、ざき	zen	mae	before	front, fore part; head (of a line); presence; ago, before; previously; (five minutes) to	1	8
政	9	5	形声 Phonetic	3	セイ、[ショウ]、まつりごと	ただ	sei, [shoo]	matsurigoto	government, rule	government, rule	2	2
選	15	4	形声 Phonetic	3	セン、えら-ぶ		sen	era(bu)	selection, choice	select, choose; cull out; elect; prefer; decide on	2	6
社	7	2	形声 Phonetic	4	シャ、やしろ		sha	yashiro	Shinto shrine; association; firm, company, office	Shinto shrine	5	1
表	8	3	会意 Com. Ideographic	3	ヒョウ、おもて、あらわ-す、あらわ-れる		hyoo	omote, arawa(su), arawa(reru)	table, schedule, diagram, chart, list	express, show, manifest. appear, emerge, come in sight, show up; be revealed, be discovered, be mentioned; become famous. surface, right side, face; exterior, outside; front; the street; mat covers; head (of a coin); first half (of an inning)	5	21
市	5	2	象形 Pictographic	3	シ、いち	か、が	shi	ichi	city, town; market	market; fair	3	2
場	12	2	形声 Phonetic	4	ジョウ、ば		joo	ba	place, grounds, links, range, course, track, ring	place, site; space, seat; scene; occasion, situation	7	7
自	6	2	象形 Pictographic	4	ジ、シ、みずか-ら	おのずか、おの、よ	ji, shi	mizuka(ra)	oneself	oneself, personally	1	2
地	6	2	形声 Phonetic	4	チ、ジ		chi, ji	-	earth, land, ground, the surface of the earth; soil; place, region; territory; room, space; position; site; foundation. texture, weave, fabric; field (of a flag); disposition; respectability; accompaniment; narrative part; fact	-	22	0
対	7	3	会意 Com. Ideographic	3	タイ、ツイ		tai, tsui	-	the opposite; antonym; even, equal; versus; (score of three) to (one); counter-, anti-, versus. pair, couple, set	-	12	0
間	12	2	会意 Com. Ideographic	5	カン、ケン、あいだ、ま	あ、か、い	kan, ken	aida, ma	interval; space; between; among; discord; favorable opportunity; six feet	space, interval, gap; between, among; midway; on the way; distance; time, period; relationship; room; pause; rest (in music); a while; leisure; luck; timing, harmony	8	20
戦	13	4	会意 Com. Ideographic	3	セン、いくさ、たたか-う	おのの	sen	ikusa, tataka(u)	war; battle; game, match	wage war; fight; engage in a contest; struggle against. war, fight, battle, encounter	4	8
業	13	3	象形 Pictographic	4	ギョウ、ゴウ、わざ		gyoo, goo	waza	vocation, occupation, business, trade, profession; industry; undertaking; studies; arts; conduct, act; service; achievement	deed, act, work, art, trick, performance	13	6
部	11	3	形声 Phonetic	3	ブ	フ、わ、べ	bu	-	department, bureau, section; faculty; division, class, category; part, portion, region; copy, volume, set	-	13	0
定	8	3	会意 Com. Ideographic	3	テイ、ジョウ、さだ-める、さだ-まる、さだ-か		tei, joo	sada(meru), sada(maru), sada(ka)	deciding. be decided, be settled, quiet down	be decided, be settled, quiet down. establish, lay down, stipulate; decide, determine; appoint, set (a date); pacify. sure, positive; accurate; reliable; sound, firm; clear, evident; genuine; able, competent; sober, sane; I think; if I remember right	4	26
学	8	1	会意 Com. Ideographic	5	ガク、まな-ぶ		gaku	mana(bu)	learning, study, science, scholarship, erudition	learn, study	5	2
方	4	2	象形 Pictographic	4	ホウ、かた	まさ、あ	hoo	kata	direction, way; side; part; square; way, method, means, scheme, process	direction; settlement; person	10	3
入	2	1	象形 Pictographic	5	ニュウ、い-る、い-れる、はい-る	ジュ、しお	nyuu	i(ru), i(reru), hai(ru)	go in, come in; flow into; set; set in	go in, come in; flow into; set; set in. put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in; insert; set (jewels); employ; listen to; tolerate, comprehend; include; pay (interest); cast (votes). enter; break into; join; enroll; contain, hold; accommodate; have (an income of)	5	30
相	9	3	会意 Com. Ideographic	3	ソウ、ショウ、あい		soo, shoo	ai	aspect, phase, physiognomy. minister of state, councilor	together, each other; mutually, reciprocally; fellow-; emphatic vebal prefix	5	6
議	20	4	形声 Phonetic	3	ギ		gi	-	consultation, deliberation, debate; consideration, proposal, suggestion	-	6	0
員	10	3	象形 Pictographic	4	イン		in	-	member; number; the one in charge	-	3	0
的	8	4	形声 Phonetic	4	テキ、まと		teki	mato	mark, target; object; the point. adjective ending	mark, target; object; the point	5	4
勝	12	3	形声 Phonetic	3	ショウ、か-つ、まさ-る	すぐ、た	shoo	ka(tsu), masa(ru)	victory, beauty spot	win; prevail, predominate, surpass. excel, surpass, outrival	2	7
今	4	2	仮借 Loan	5	コン、キン、いま		kon, kin	ima	now, the present; the coming; this	now, present time; just now, soon, immediately; (one) more	4	6
金	8	1	象形 Pictographic	5	キン、コン、かね、[かな]	こがね	kin, kon	kane, [kana]	gold; money; Friday	money, metal	3	2
明	8	2	会意 Com. Ideographic	4	メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす	ミン	mei, myoo	a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu)	clearness, shining; eyesight; discernment. next (week), tomorrow (morning)	open; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; open, begin. be opened; start, commence; become vacant, become empty, be disengaged, be free; expire, be over. spend, pass the time; reveal, divulge. light, lamp; vindication. bright, cheerful, sunny; clear, clean; conversant with. plain, distinct, definite, obvious, indisputable, evident. next, following	6	44
決	7	3	形声 Phonetic	3	ケツ、き-める、き-まる		ketsu	ki(meru), ki(maru)	decision, vote	fix, decide, agree upon; appoint, choose; resolve; be decided, be settled, be arranged; be certain to, be doomed to	2	11
高	10	2	会意 Com. Ideographic	5	コウ、たか-い、たか、たか-まる、たか-める		koo	taka(i), taka, taka(maru), taka(meru)	high	high, tall, lofty, raised, elevated, eminent; exalted, noble; loud, stentorian; expensive; widely known. quantity, volume, amount, sum; rise (in prices); fief. rise; swell; be elevated, be promoted; increase. raise, lift, promote, elevate; improve, enhance; ennoble; heighten; boost	1	32
内	4	2	象形 Pictographic	3	ナイ、[ダイ]、うち	ノウ、い	nai, [dai]	uchi	inside, interior, within, between, among. within, within the scope of	inside, interior; house, home; within; between, among, out of; mind; myself. inner	7	11
現	11	5	形声 Phonetic	3	ゲン、あらわ-れる、あらわ-す	うつつ	gen	arawa(reru), arawa(su)	present, exciting, actual	appear, emerge, come in sight, show up; be revealed, be discovered; be mentioned; become famous. show, indicate, display, prove, disclose, express; represent; distinguish oneself	3	16
子	3	1	象形 Pictographic	5	シ、ス、こ	み、ね	shi, su	ko	viscount, master; child; male; fruit; seed. offspring; the young (of animals)	child, offspring; the young (of animals)	8	3
代	5	3	形声 Phonetic	4	ダイ、タイ、か-わる、か-える、よ、しろ		dai, tai	ka(waru), ka(eru), yo, shiro	period, age, generation; charge, rate, fee, cost, price	world, society, public; life, existence, career, lifetime; age, era, generation, times; reign. change, turn, convert, exchange, renew, substitute, replace. relieve. price; substitution	8	22
目	5	1	象形 Pictographic	4	モク、[ボク]、め、[ま]		moku, [boku]	me, [ma]	item, division, class; order (of plants or animals)	eye; look, gaze; notice, attention; viewpoint; discrimination, insight; experience; treatment; care, favor, pity; texture, weave; mesh; grain, square; sight, vision; tooth (of a saw); weight; momme (0.1325 oz.); eye (of a needle)	4	24
作	7	2	形声 Phonetic	4	サク、サ、つく-る		saku, sa	tsuku(ru)	a work, a production; tillage; harvest; ridge (in a field)	a work, a production; tillage; harvest; ridge (in a field)	5	17
円	4	1	形声 Phonetic	5	エン、まる-い	まど	en	maru(i)	circle; yen	round, circular, spherical	2	3
開	12	3	会意 Com. Ideographic	4	カイ、ひら-く、ひら-ける、あ-く、あ-ける		kai	hira(ku), hira(keru), a(ku), a(keru)	opening	open, unfold, unroll, uncover, unpack, untie, unseal; establish; clear (land); pioneer; clear the way; convene; enlighten ( a country); bloom; differ, have a margin; widen (the space between); become civilized, become modernized; become sensible; be opened to traffic; feel relief; be open; grow, develop (a town); start, commence; become vacant, become empty, be disengaged, be free; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; begin	1	43
力	2	1	象形 Pictographic	4	リョク、リキ、ちから	つと	ryoku, riki	chikara	strain, bear up, exert one's strength; swagger, bluff, boast. strength. power	strength, energy, force, might, power; agency; authority, influence; vigor; stress, emphasis; exertions, endeavors; efficacy; help, support, good offices; ability, faculty, capability, attainment; means, resources	8	23
新	13	2	会意 Com. Ideographic	4	シン、あたら-しい、あら-た、にい		shin	atara(shii), ara(ta), nii	newness, novelty. new, modern, novel, fresh, neo-	new, novel, fresh, recent, modern	7	5
立	5	1	会意 Com. Ideographic	4	リツ、[リュウ]、た-つ、た-てる		ritsu, [ryuu]	ta(tsu), ta(teru)	standing	stand, rise; rouse oneself; be built, be established; go up (smoke); burn out; depart; take flight; run high (waves); stick into; be worked out; be maintained; save (face); establish oneself, begin life; spread (rumors); shut (door); be active; open (markets); be excited; come (seasons); makes (a total of thirty). stand something up, set up, raise; put up; set on edge; prick up (one's ears); build, erect; close (a door); establish; institute, enact; lay (plans); map out; set forth, lay down (a proposition); formulate; render (services), perform; look up to, respect; be loyal to; do justice to; circulate (rumors); have (an aim); establish (oneself), make (a success); support (oneself); make (an oath); sharpen, set (a saw); put up (a candidate); make (tea); save (face)	1	57
性	8	5	形声 Phonetic	3	セイ、ショウ		sei, shoo	-	sex, gender; nature, attribute. deposition; quality; purity	-	7	0
権	15	6	形声 Phonetic	3	ケン、[ゴン]		ken, [gon]	-	authority, power, rights, concession	-	2	0
全	6	3	象形 Pictographic	3	ゼン、まった-く、すべ-て	まっと	zen	matta(ku), sube(te)	all	entirely, completely, wholly, perfectly; truly, indeed.	1	6
化	4	3	会意 Com. Ideographic	3	カ、ケ、ば-ける、ば-かす		ka, ke	ba(keru), ba(kasu)	influence; bewitch, enchant, confuse, delude	bewitch, enchant, confuse, delude; appear in disguise	5	5
問	11	3	会意 Com. Ideographic	4	モン、と-う、と-い、[とん]		mon	to(u), to(i), [ton]	question, problem, subject, discussion	ask, question, inquire; accuse. Inquiry	4	5
体	7	2	形声 Phonetic	4	タイ、テイ、からだ		tai, tei	karada	the body; substance, object; reality; style, form; image counter. appearance, air; condition, state	body, health	11	2
当	6	2	形声 Phonetic	3	トウ、あ-たる、あ-てる		too	a(taru), a(teru)	right, appropriateness, fairness; himself; itself; at the time	hit, strike, dash into; touch; shine on; guess right, be fulfilled; succeed; confront; lie (to the south); treat; fell out; undertake; be worth; correspond to; be related to; apply to; draw (a prize); be assigned to; be affected by; be spoiling; be exposed to; warm oneself; shave; grind; this coming (15th); turn out well; take well; be punished (by heaven); stand to reason; deal with; engage (the enemy); need not to (with negative); have (one's turn); be charged with. apply, place, put; hit (the mark); guess; succeed; expose to; sit (on a cushion); assign, allocate; call on (a pupil)	6	46
